"ISO","SPID","vac"
"AGO","AGO_1",269310.211074098
"AGO","AGO_10",1809698.90787645
"AGO","AGO_11",4978509.82395398
"AGO","AGO_12",625371.712716406
"AGO","AGO_13",396640.912781905
"AGO","AGO_14",731924.569010631
"AGO","AGO_15",555104.174384811
"AGO","AGO_16",360156.495260945
"AGO","AGO_17",1089967.07282212
"AGO","AGO_18",426064.598861681
"AGO","AGO_2",1554215.73833012
"AGO","AGO_3",1026712.60503357
"AGO","AGO_4",513914.396259444
"AGO","AGO_5",386181.651814159
"AGO","AGO_6",328907.858017166
"AGO","AGO_7",1362319.12541094
"AGO","AGO_8",741576.669606766
"AGO","AGO_9",1453983.33210769
"BDI","BDI_1",356207.204168248
"BDI","BDI_10",666429.576466068
"BDI","BDI_11",447953.289091636
"BDI","BDI_12",302370.061445164
"BDI","BDI_13",661434.459682911
"BDI","BDI_14",282935.413062655
"BDI","BDI_15",691670.908869519
"BDI","BDI_16",347423.977954602
"BDI","BDI_17",417046.103452623
"BDI","BDI_2",482100.378448556
"BDI","BDI_3",517063.013314035
"BDI","BDI_4",594776.145911119
"BDI","BDI_5",237272.025470723
"BDI","BDI_6",484359.240593727
"BDI","BDI_7",707069.99937943
"BDI","BDI_8",453093.214930947
"BDI","BDI_9",627254.748505649
"BEN","BEN_1",736681.093923741
"BEN","BEN_10",933140.607735987
"BEN","BEN_11",549279.814182346
"BEN","BEN_12",722257.918643312
"BEN","BEN_2",653531.17176887
"BEN","BEN_3",1182753.70574411
"BEN","BEN_4",1023743.78154952
"BEN","BEN_5",609526.653981815
"BEN","BEN_6",459104.969008407
"BEN","BEN_7",545340.690681618
"BEN","BEN_8",558193.049842126
"BEN","BEN_9",496860.388608038
"BFA","BFA_1",208208.80393221
"BFA","BFA_10",291424.303576132
"BFA","BFA_11",941129.286947853
"BFA","BFA_12",151587.320165704
"BFA","BFA_13",1844730.63490156
"BFA","BFA_14",288064.592151164
"BFA","BFA_15",427201.039987875
"BFA","BFA_16",79684.9809415809
"BFA","BFA_17",87928.1250984744
"BFA","BFA_18",264942.40348871
"BFA","BFA_19",238338.605696732
"BFA","BFA_2",275384.973512386
"BFA","BFA_20",329644.501139368
"BFA","BFA_21",138043.883225501
"BFA","BFA_22",128428.261209897
"BFA","BFA_23",136430.619777543
"BFA","BFA_24",288432.542629733
"BFA","BFA_25",156974.14527015
"BFA","BFA_26",327514.301129494
"BFA","BFA_27",140750.463739636
"BFA","BFA_28",227190.232914574
"BFA","BFA_29",202038.673207744
"BFA","BFA_3",266795.700070949
"BFA","BFA_30",297150.485870423
"BFA","BFA_31",315883.604713876
"BFA","BFA_32",282973.481848513
"BFA","BFA_33",582889.23972045
"BFA","BFA_34",253201.848647997
"BFA","BFA_35",212342.039062636
"BFA","BFA_36",362069.290551404
"BFA","BFA_37",244899.260548758
"BFA","BFA_38",340585.196350799
"BFA","BFA_39",232603.393942844
"BFA","BFA_4",222757.520707522
"BFA","BFA_40",160679.985979661
"BFA","BFA_41",545808.258976341
"BFA","BFA_42",168631.177609592
"BFA","BFA_43",147007.126785238
"BFA","BFA_44",246262.708947872
"BFA","BFA_5",118712.562683762
"BFA","BFA_6",519130.720597656
"BFA","BFA_7",469886.305321718
"BFA","BFA_8",303743.496286005
"BFA","BFA_9",390133.603433161
"CAF","CAF_1",50960.6036797241
"CAF","CAF_10",114368.156253222
"CAF","CAF_11",237007.16596293
"CAF","CAF_12",836529.007209754
"CAF","CAF_13",291617.108467559
"CAF","CAF_14",420138.75011026
"CAF","CAF_15",367705.551842095
"CAF","CAF_16",115471.246570918
"CAF","CAF_17",48772.2398121045
"CAF","CAF_2",254883.581174632
"CAF","CAF_3",261959.161906256
"CAF","CAF_4",48947.3089215141
"CAF","CAF_5",89943.6915643566
"CAF","CAF_6",125657.015241831
"CAF","CAF_7",279741.070784559
"CAF","CAF_8",375210.284284395
"CAF","CAF_9",176035.088079626
"CIV","CIV_1",551774.327661446
"CIV","CIV_10",720900.647877363
"CIV","CIV_11",707577.848467036
"CIV","CIV_12",459713.517876267
"CIV","CIV_13",742668.121861014
"CIV","CIV_14",1303662.951382
"CIV","CIV_15",686385.598452604
"CIV","CIV_16",363826.743623551
"CIV","CIV_17",1162738.71837404
"CIV","CIV_18",534921.232126305
"CIV","CIV_19",751377.850616232
"CIV","CIV_2",150185.822293875
"CIV","CIV_3",1743092.17080309
"CIV","CIV_4",238001.736989679
"CIV","CIV_5",1211863.97323547
"CIV","CIV_6",703461.855107456
"CIV","CIV_7",1165041.22552253
"CIV","CIV_8",562268.539738541
"CIV","CIV_9",4592234.49612295
"CMR","CMR_1",963327.694181764
"CMR","CMR_10",665643.426955107
"CMR","CMR_2",3382958.89308294
"CMR","CMR_3",777091.366521724
"CMR","CMR_4",3384203.99531512
"CMR","CMR_5",2732909.88773779
"CMR","CMR_6",1723094.07601695
"CMR","CMR_7",1945023.06552818
"CMR","CMR_8",1728334.95646183
"CMR","CMR_9",1246252.17762897
"COD","COD_1",7160482.08062473
"COD","COD_2",3916573.10625068
"COD","COD_3",6630835.00151069
"COD","COD_4",4596761.29445632
"COD","COD_5",5275533.14560112
"COD","COD_6",5683373.73792074
"COD","COD_7",6583786.96856722
"COD","COD_8",10527564.3932818
"COD","COD_9",7659370.87744838
"COG","COG_1",301194.787691532
"COG","COG_10",79984.5634787846
"COG","COG_2",61426.1624632851
"COG","COG_3",162196.104106173
"COG","COG_4",788755.660266881
"COG","COG_5",94559.8036971995
"COG","COG_6",150131.246334132
"COG","COG_7",219191.542214691
"COG","COG_8",172833.869080969
"COG","COG_9",1583748.56007896
"ERI","ERI_1",848631.830237646
"ERI","ERI_2",754672.93088899
"ERI","ERI_3",95119.8519186299
"ERI","ERI_4",852439.97243083
"ERI","ERI_5",1110004.03714301
"ERI","ERI_6",627754.138941215
"ETH","ETH_1",3180231.45666618
"ETH","ETH_10",15143056.2222824
"ETH","ETH_11",4576895.82943849
"ETH","ETH_2",1536761.28245025
"ETH","ETH_3",20302360.5719049
"ETH","ETH_4",762915.234272754
"ETH","ETH_5",370468.708145469
"ETH","ETH_6",257914.556940952
"ETH","ETH_7",194955.733910933
"ETH","ETH_8",27530500.8165001
"ETH","ETH_9",4728227.43501035
"GAB","GAB_1",601688.741920643
"GAB","GAB_2",148536.54203709
"GAB","GAB_3",61240.350064682
"GAB","GAB_4",113746.121625663
"GAB","GAB_5",60301.6241989288
"GAB","GAB_6",71787.7321978143
"GAB","GAB_7",62741.4258594477
"GAB","GAB_8",143411.630164341
"GAB","GAB_9",143037.02540848
"GHA","GHA_1",4320726.52764916
"GHA","GHA_10",2121787.93715249
"GHA","GHA_2",2045541.31618549
"GHA","GHA_3",1982105.09914055
"GHA","GHA_4",2289871.24736604
"GHA","GHA_5",3567093.66366668
"GHA","GHA_6",2211284.5766507
"GHA","GHA_7",934954.218788478
"GHA","GHA_8",619040.660510813
"GHA","GHA_9",1866155.46305366
"GIN","GIN_1",1006490.05237023
"GIN","GIN_2",1516282.62050343
"GIN","GIN_3",881285.298139896
"GIN","GIN_4",1846700.23540472
"GIN","GIN_5",1449276.98897176
"GIN","GIN_6",931701.803892457
"GIN","GIN_7",688704.476428938
"GIN","GIN_8",1558678.49555766
"GMB","GMB_1",315832.254158047
"GMB","GMB_2",68381.7549993995
"GMB","GMB_3",183117.356470116
"GMB","GMB_4",167429.081106636
"GMB","GMB_5",199605.386563978
"GMB","GMB_6",558703.047796362
"GNB","GNB_1",226821.445457478
"GNB","GNB_2",95551.6119387395
"GNB","GNB_3",335775.722024955
"GNB","GNB_4",32317.10334226
"GNB","GNB_5",193763.761116255
"GNB","GNB_6",212212.559526678
"GNB","GNB_7",227180.627241975
"GNB","GNB_8",61764.4553135374
"GNB","GNB_9",102683.406958756
"GNQ","GNQ_2",118973.096575652
"GNQ","GNQ_3",15344.2361441846
"GNQ","GNQ_4",101370.965813526
"GNQ","GNQ_5",156200.015998235
"GNQ","GNQ_6",150386.173538482
"GNQ","GNQ_7",104928.803106901
"KEN","KEN_1",4107343.28541182
"KEN","KEN_2",3054799.99236064
"KEN","KEN_3",5336503.84606289
"KEN","KEN_4",3064679.29829656
"KEN","KEN_5",2108407.46317957
"KEN","KEN_6",5099993.48847235
"KEN","KEN_7",9348970.36101461
"KEN","KEN_8",4101322.83054979
"LBR","LBR_1",113261.625541344
