"ISO","SPID","adm1_name","vac","pop"
"AGO","AGO_1","Bengo",0.616036515409877,374533.38084131
"AGO","AGO_10","Huila",0.69787791153636,2516772.93470801
"AGO","AGO_11","Luanda",0.928818619259333,6923681.46191131
"AGO","AGO_12","Lunda Norte",0.721838625192885,869712.963767837
"AGO","AGO_13","Lunda Sul",0.606339384868879,551613.923035826
"AGO","AGO_14","Malanje",0.497124387135088,1017897.47317433
"AGO","AGO_15","Moxico",0.371118744978497,771990.940567284
"AGO","AGO_16","Namibe",0.393220164084605,500874.546360683
"AGO","AGO_17","Uige",0.601718181706267,1515832.06281567
"AGO","AGO_18","Zaire",0.743048370865042,592533.844268369
"AGO","AGO_2","Benguela",0.970661777225469,2161469.00896153
"AGO","AGO_3","Bie",0.473801965145452,1427863.21239714
"AGO","AGO_4","Cabinda",0.98613881795426,714707.754772474
"AGO","AGO_5","Cuando Cubango",0.637543789435712,537068.086263697
"AGO","AGO_6","Cuanza Norte",0.537579173094651,457416.64067297
"AGO","AGO_7","Cuanza Sul",0.705430739014931,1894595.77410732
"AGO","AGO_8","Cunene",0.781756286694339,1031320.78101725
"AGO","AGO_9","Huambo",0.831625959733138,2022074.43560829
"BDI","BDI_1","Bubanza",0,498458.692039735
"BDI","BDI_10","Kirundo",0,932568.491413688
"BDI","BDI_11","Makamba",0,626843.612264644
"BDI","BDI_12","Muramvya",0,423121.665076547
"BDI","BDI_13","Muyinga",0,925578.572767512
"BDI","BDI_14","Mwaro",0,395925.782175701
"BDI","BDI_15","Ngozi",0,967889.959895898
"BDI","BDI_16","Rutana",0,486167.880963733
"BDI","BDI_17","Ruyigi",0,583593.629816296
"BDI","BDI_2","Bujumbura Mairie",0,674627.35526209
"BDI","BDI_3","Bujumbura Rural",0,723552.332189502
"BDI","BDI_4","Bururi",0,832300.235026291
"BDI","BDI_5","Cankuzo",0,332026.70268817
"BDI","BDI_6","Cibitoke",0,677788.294898359
"BDI","BDI_7","Gitega",0,989438.683291582
"BDI","BDI_8","Karuzi",0,634036.169520825
"BDI","BDI_9","Kayanza",0,877749.180412868
"BEN","BEN_1","Alibori",0.886146629999825,971206.694258195
"BEN","BEN_10","Oueme",0.923280502774662,1230209.94076327
"BEN","BEN_11","Plateau",0.923280502774662,724145.409668968
"BEN","BEN_12","Zou",0.923280502774662,952191.838983162
"BEN","BEN_2","Atakora",0.883865517093951,861585.636123345
"BEN","BEN_3","Atlantique",0.923280502774662,1559288.44401194
"BEN","BEN_4","Borgou",0.863836381207963,1349657.0253356
"BEN","BEN_5","Collines",0.820221579556833,803572.09049974
"BEN","BEN_6","Donga",0.836655641000594,605263.01400416
"BEN","BEN_7","Kouffo",0.718045010384035,718952.249229572
"BEN","BEN_8","Littoral",0.923280502774662,735896.212304844
"BEN","BEN_9","Mono",0.923280502774662,655038.034107343
"BFA","BFA_1","Bale",0.962389594508861,280137.048103556
"BFA","BFA_10","Gourma",0.962389594508861,392100.346419706
"BFA","BFA_11","Houet",0.941509434713065,1266253.75752706
"BFA","BFA_12","Ioba",0.809124668455163,203954.989410415
"BFA","BFA_13","Kadiogo",0.962389594508861,2482015.09661319
"BFA","BFA_14","Kenedougou",0.96129693538554,387579.982134933
"BFA","BFA_15","Komoe",0.921587927738538,574782.795101868
"BFA","BFA_16","Komondjari",0.962389594508861,107213.119318579
"BFA","BFA_17","Kompienga",0.962389594508861,118303.957110222
"BFA","BFA_18","Kossi",0.938471361896447,356469.95433946
"BFA","BFA_19","Koulpelogo",0.962389594508861,320675.553521446
